TFIDF,TF,IDF,URI
0.00721,.0007,10.3,https://www.nraila.org/articles/20151222/nra-condemns-virginia-attorney-general-s-decision-to-play-politics-with-self-defense-rights

0.01751,.0017,10.3,http://thefederalist.com/2015/11/11/chicagos-not-so-brilliant-bullet-tax/

0.03811,.0037,10.3,https://www.nraila.org/issues/terrorist-watchlistno-fly-list/everytowns-claims-and-the-facts/

0.02266,.0022,10.3,http://www.tucsonsentinel.com/opinion/report/121215_watch_list_op/watch-lists-should-never-used-deny-constitutional-rights/

0.00824,.0008,10.3,http://opinion.injo.com/2016/01/251742-dont-gun-ive-still-got-3-questions-obama-gun-control-orders/

0.00309,.0003,10.3,http://www.knoxnews.com/news/local/right-name-wrong-man-knoxville-veterinarian-cant-get-off-no-fly-list-26f4d248-2e52-111a-e053-0100007-362692771.html

0.00618,.0006,10.3,https://www.nraila.org/articles/20151027/wayne-lapierre-to-president-obama-this-is-how-you-stop-violent-crime

0.00721,.0007,10.3,http://www.news-journalonline.com/article/20151130/opinion/151139997?tc=ar

0.00721,.0007,10.3,http://www.washingtontimes.com/news/2016/jan/5/gun-rules-wont-make-easier-charges-ex-atf-agents/

0.02884,.0028,10.3,http://www.breitbart.com/big-journalism/2015/12/07/la-times-counters-obama-background-checks-not-include-no-fly-list/

